post_id,post_message,titulo_facebook
156057357762712_286615938040186,"[VOS] Tu mejor noticia de la semana fue _____________________",NULL
156057357762712_525938674107910,"Mirá el VIDEO con la lectura de la sentencia: [http://bit.ly/13mWaS4]",NULL
156057357762712_723774724324303,"Diario Clarín shared a link.","Tierno y viral: el video del perro que le enseña a gatear a una bebé"
156057357762712_723998560968586,"Una cámara grabó cuando un hincha mexicano se zambulló al mar desde un crucero y no lo pudieron salvar  http://www.clarin.com/sociedad/hincha-mexicano-caida-crucero-Brasil_0_1162084064.html",NULL
156057357762712_724901470878295,[VIDEO],"La curiosa reacción de Lavezzi con Sabella"
156057357762712_724901734211602,"Diario Clarín shared a link.","Siete playas para escaparse del frío"
156057357762712_724962350872207,"[FOTOGALERÍA HD]","10 Patrimonios de la Humanidad no tan conocidos"
156057357762712_725093804192395,"La mordida más famosa","Las cargadas a Suárez explotan en Internet"
156057357762712_725264817508627,"Diario Clarín shared a link.","El pobre gato que viajó 80 kilómetros enganchado en una 4x4"
156057357762712_725363904165385,"Diario Clarín shared a link.","El descuido de un jugador ghanés en pleno partido"
156057357762712_725887614113014,"#Messi  Neymar Jr.  Luis Suarez  y más. Mirá los autos más lujosos de los jugadores --> http://on.fb.me/1vdtQ0T",NULL
156057357762712_932617593440014,"El padrón definitivo de las #Elecciones2015.","Ya podés consultar dónde votás el próximo domingo"
156057357762712_932671960101244,"¡Mirá sus fotos! Clarín Extra Show","Conocé a la diosa que sale con DiCaprio"
156057357762712_932683543433419,"¡Mirá las fotos en HD!","Los mejores cielos para contemplar las estrellas"
156057357762712_933111200057320,"El padrón definitivo de las #Elecciones2015.","Ya podés consultar dónde votás el próximo domingo"
156057357762712_933137706721336,"Diario Clarín shared a link.","El "perreo" más sexy se viraliza en la web"
156057357762712_933157880052652,"¡Mirá el video!","La deslumbrante imitación de Tato Bores en "ShowMatch""
156057357762712_933186280049812,"Un peculiar álbum familiar.","Padre e hijo se sacaron la misma foto durante 27 años"
156057357762712_933197933381980,"Mirá lo que pasó cuando se quitó el disfraz.","Cristiano Ronaldo se disfrazó de mendigo y sorprendió a un nene en Madrid"
156057357762712_933332546701852,"¡Escuchala!  Clarín Deportes","Orion asesino, la cumbia dedicada al arquero de Boca"
156057357762712_933383573363416,"¡Conocelo a través de esta fotogalería HD!","Un bar en donde el alcohol entra por los pulmones y los ojos"
156057357762712_933649993336774,"¡Mirá las fotos! Clarín Extra Show","Isabel Macedo, más sensual que nunca"
156057357762712_933725406662566,"¡Mirá el video!","Un elefante bebé que intenta atrapar pájaros es furor en YouTube"
156057357762712_933734556661651,"El padrón definitivo de las #Elecciones2015.","Ya podés consultar dónde votás el próximo domingo"
156057357762712_933740413327732,"#Clarín70Aniversario | Un recorrido por los acontecimientos que marcaron al país y al mundo en las últimas siete décadas.","Un viaje por el conurbano: 10 hechos que marcaron la historia"
156057357762712_933748593326914,"Diario Clarín shared a link.","Mirá los videos de los hinchas para alentar a River"
156057357762712_933798976655209,¡Imperdibles!,"Diez fenómenos naturales para conocer"
156057357762712_934222156612891,"Diario Clarín shared a link.","Los memes del River campeón inundan la web"
156057357762712_934280506607056,"#RiverCampeonDeAmerica Clarín Deportes","De Teo a Ramón Díaz, los festejos en las redes sociales"
156057357762712_934306806604426,"#RiverCampeonDeAmerica Clarín Deportes","Las mejores imágenes de River Campeón en HD"
156057357762712_934326506602456,"¡Mirá el video!","Las increíbles imágenes del autraliano que 'surfea' con su moto"
156057357762712_934460443255729,"[Vía Todo Viajes] De Estados Unidos a Rusia  8 pueblos y ciudades increíbles que fueron abandonados.","Ciudades fantasma que vale la pena conocer"
156057357762712_934752846559822,"Diario Clarín shared a link.","Así es el hotel de Harry Potter"
156057357762712_934761626558944,"#Clarín70Aniversario | Un recorrido por los acontecimientos que marcaron al país y al mundo en las últimas siete décadas.","La revolución de los viajes"
156057357762712_934790143222759,"Uno de los choferes se queda dormido y pierde el control.","Video: impresionante choque de camiones en Rusia"
156057357762712_934809896554117,"Mirá el video.","Minions furiosos: destruyen cosas y causan pánico entre la gente"
156057357762712_934818883219885,"El padrón definitivo. #Elecciones2015","Consultá dónde votás el domingo"
156057357762712_935390916496015,"Imágenes inéditas de Macri  Scioli y Massa.","La intimidad en fotos: un día con cada candidato"
156057357762712_935435509824889,"Mirá la destreza del piloto","Un espectacular aterrizaje con viento cruzado"
156057357762712_935462209822219,"El periodista cuenta su calvario en Mundos Intimos","Franco Torchia: ¨De chico, fui abusado¨"
156057357762712_935466303155143,"Si te los perdiste a Los Pumas... acá está lo mejor","Los cuatro tries pumas en la victoria ante Sudáfrica"
156057357762712_935499166485190,"Los de ayer  los de ahora  el mismo orgullo. Un video emocionante.","La emoción de Los Pumas al escuchar el himno"
156057357762712_935730896462017,"[VIDEO] Mirá cómo es la Ciudad desde lo alto  con detalles que seguro no conocías","Buenos Aires vista desde el cielo: un paseo en dron por lugares emblemáticos"
156057357762712_935818033119970,"Diario Clarín shared a link.","Impactante: cómo fueron las últimas horas de Cerati antes del ACV"
156057357762712_935863299782110,"Diario Clarín shared a link.","Las 4 formas de recaudar que tienen las comisarías con la inseguridad"
